Verification log – 2026-09-24 00:19:24 UTC
Execution time: 35.6s
Total proxies tested: 249
Working proxies found: 216
------------------------------------------------------------
Timestamp                   Host:Port                      Status Ping     Region
------------------------------------------------------------
2026-09-24T00:19:22.052906  172.65.105.80:25565            OK     0.006s   eu
2026-09-24T00:19:22.052928  172.65.113.134:22              OK     0.005s   eu
2026-09-24T00:19:22.053155  ssh.meow0.co.uk:22             OK     0.019s   eu
2026-09-24T00:19:22.061880  new.canmycheshm.co.uk.:22      FAIL   -        eu
2026-09-24T00:19:22.062023  close.your.mouth.and.eyse.kiroftopmine.site.:22 FAIL   -        eu
2026-09-24T00:19:22.065483  s01.neo-trading.org:443        FAIL   -        ru
2026-09-24T00:19:22.129286  vahshianeh.ghodratitarin.info.:7799 OK     0.1s     eu
2026-09-24T00:19:22.134746  167.233.89.249:443             OK     0.09s    eu
2026-09-24T00:19:22.136068  ir.qkzheng.info:8443           FAIL   -        eu
2026-09-24T00:19:22.138701  for.you.goooalir.co.uk:8443    OK     0.112s   eu
2026-09-24T00:19:22.139629  shenzar-sahel.dashtodaman.info.:7799 OK     0.106s   eu
2026-09-24T00:19:22.140121  gold.lavazemi4.co.uk:2096      OK     0.104s   eu
2026-09-24T00:19:22.141725  panir.begir.co.uk:8443         OK     0.107s   eu
2026-09-24T00:19:22.143862  AZADI.goooalir.co.uk:8443      OK     0.112s   eu
2026-09-24T00:19:22.144002  ii0000.ir.ir.ir.meli-n12.info:8443 OK     0.116s   eu
2026-09-24T00:19:22.144721  dokhtar.nanaz.co.uk:8443       OK     0.108s   eu
2026-09-24T00:19:22.146865  napoli.goooalir.co.uk:8443     OK     0.112s   eu
2026-09-24T00:19:22.147205  dpi.Server-space52.info:443    OK     0.105s   eu
2026-09-24T00:19:22.147634  baran.goooalir.co.uk:8443      OK     0.106s   eu
2026-09-24T00:19:22.147762  from.goooalir.co.uk:8443       OK     0.117s   eu
2026-09-24T00:19:22.148649  my-iran.vingardium.co.uk:8443  OK     0.111s   eu
2026-09-24T00:19:22.151169  s47n.ir.ir.ir.meli-n12.info:8443 OK     0.112s   eu
2026-09-24T00:19:22.151343  nasho.poolaki.co.uk:8443       OK     0.112s   eu
2026-09-24T00:19:22.151541  sd.cipservice2.co.uk:2096      OK     0.103s   eu
2026-09-24T00:19:22.151955  kurd.naaab.lol:8443            OK     0.108s   eu
2026-09-24T00:19:22.152219  reyhoon.shambelile.co.uk:8443  OK     0.106s   eu
2026-09-24T00:19:22.152862  aseman.lunavane.co.uk.:8443    OK     0.105s   eu
2026-09-24T00:19:22.153097  ahvaz.co.uk:4455               OK     0.107s   eu
2026-09-24T00:19:22.154936  65.21.30.247:443               FAIL   -        eu
2026-09-24T00:19:22.155122  darya.saheledarya.co.uk.:8443  OK     0.105s   eu
2026-09-24T00:19:22.156265  mio.foltmeingop.co.uk:8880     OK     0.103s   eu
2026-09-24T00:19:22.156410  joje.goooalir.co.uk:8443       OK     0.108s   eu
2026-09-24T00:19:22.156624  dns.speed-benz.co.uk:8443      OK     0.112s   eu
2026-09-24T00:19:22.157960  bale.foltmeingop.co.uk:8880    OK     0.112s   eu
2026-09-24T00:19:22.158955  t.meow-network.com:443         OK     0.123s   eu
2026-09-24T00:19:22.159115  ir.makkers.co.uk:8443          OK     0.121s   eu
2026-09-24T00:19:22.160593  silver.ciaude.co.uk:2096       OK     0.124s   eu
2026-09-24T00:19:22.160945  support.infinityhalo.co.uk.:8443 OK     0.123s   eu
2026-09-24T00:19:22.161225  95.217.193.223:443             OK     0.115s   eu
2026-09-24T00:19:22.163496  puot.mozitop.co.uk:8443        OK     0.112s   eu
2026-09-24T00:19:22.163680  narooo.goooalir.co.uk:8443     OK     0.12s    eu
2026-09-24T00:19:22.164290  at.foltmeingop.co.uk:8880      OK     0.114s   eu
2026-09-24T00:19:22.165452  mio.mozitop.co.uk:8443         OK     0.117s   eu
2026-09-24T00:19:22.166260  mamadgoli.co.uk:4455           OK     0.128s   eu
2026-09-24T00:19:22.166737  65.21.83.248:443               OK     0.117s   eu
2026-09-24T00:19:22.166887  ving.mozitop.co.uk:8443        OK     0.105s   eu
2026-09-24T00:19:22.169260  bo0ji.co.uk.:443               OK     0.128s   eu
2026-09-24T00:19:22.169708  Lashboy.muzanesghy.co.uk:4455  OK     0.142s   eu
2026-09-24T00:19:22.170266  iranian.billblog.co.uk:8443    OK     0.131s   eu
2026-09-24T00:19:22.171387  ir.genesbyjohn.info:8443       OK     0.139s   eu
2026-09-24T00:19:22.172127  32.ir.meli-n13.info:8443       OK     0.106s   eu
2026-09-24T00:19:22.172602  pofak.mikhay.co.uk:8443        OK     0.129s   eu
2026-09-24T00:19:22.172619  ir.atcfirealarms.co.uk.:443    OK     0.129s   eu
2026-09-24T00:19:22.174812  dark.canmycheshm.co.uk.:25565  FAIL   -        eu
2026-09-24T00:19:22.175055  771.masi.ir.he6fhd.ru:8443     OK     0.14s    eu
2026-09-24T00:19:22.177632  sn.ir.ir.ir.meli-n12.info:8443 OK     0.132s   eu
2026-09-24T00:19:22.179990  severjadid.co.uk:4455          OK     0.147s   eu
2026-09-24T00:19:22.180605  onlineforless.co.uk.:8443      OK     0.134s   eu
2026-09-24T00:19:22.182166  FOR-IRAN.goooalir.co.uk:8443   OK     0.14s    eu
2026-09-24T00:19:22.185502  din5gli2.co.uk:4455            OK     0.15s    eu
2026-09-24T00:19:22.186019  s03.neo-trading.org:443        FAIL   -        ru
2026-09-24T00:19:22.186069  exiscos.co.uk.:8443            OK     0.124s   eu
2026-09-24T00:19:22.187619  ir.naganuma.info:8443          OK     0.147s   eu
2026-09-24T00:19:22.189731  server3.Server-space52.info:443 OK     0.161s   eu
2026-09-24T00:19:22.191577  31.hide.newflamingodomain.co.uk:8443 OK     0.148s   eu
2026-09-24T00:19:22.195164  788999lj.ir.ir.ir.meli-n12.info:8443 OK     0.162s   eu
2026-09-24T00:19:22.196653  alhosein.co.uk:4455            OK     0.15s    eu
2026-09-24T00:19:22.196665  just-iraninan.com.the-nice-mtproto.info.:7443 OK     0.165s   eu
2026-09-24T00:19:22.203479  91.234.147.8.server-space52.info:2020 OK     0.16s    eu
2026-09-24T00:19:22.207047  08kj.ir.ir.ir.meli-n12.info:8443 OK     0.172s   eu
2026-09-24T00:19:22.207810  for.you.ir.zigoraaat.info.:7443 FAIL   -        eu
2026-09-24T00:19:22.208133  gov.grasic.info:8443           OK     0.18s    eu
2026-09-24T00:19:22.208329  ir.esdata.info:8443            OK     0.178s   eu
2026-09-24T00:19:22.208809  2uuddd1.mmd1.meli-n12.info:8443 OK     0.168s   eu
2026-09-24T00:19:22.211224  ir.grumpyoldmen.info:8443      OK     0.183s   eu
2026-09-24T00:19:22.211892  ir.engematica.info:8443        OK     0.176s   eu
2026-09-24T00:19:22.212980  ir.bazzawill.info:8443         OK     0.182s   eu
2026-09-24T00:19:22.221608  91.234.147.10.best-domain.ir:4443 FAIL   -        eu
2026-09-24T00:19:22.227132  91.234.147.13.aprawood.ir:2020 OK     0.196s   eu
2026-09-24T00:19:22.227648  91.234.147.11.best-domain.ir:4443 FAIL   -        eu
2026-09-24T00:19:22.228178  s44447n.ir.ir.ir.meli-n12.info:8443 OK     0.188s   eu
2026-09-24T00:19:22.229188  ir.speed.finecooking.info:443  OK     0.192s   eu
2026-09-24T00:19:22.230959  91.234.147.13.best-domain.ir:4443 FAIL   -        eu
2026-09-24T00:19:22.233111  ir.gnutella2.info:8443         OK     0.206s   eu
2026-09-24T00:19:22.233281  ir.pbdjarum.info:8443          OK     0.185s   eu
2026-09-24T00:19:22.233556  172.65.122.51:25565            OK     0.006s   eu
2026-09-24T00:19:22.235563  91.234.147.14.best-domain.ir:4443 FAIL   -        eu
2026-09-24T00:19:22.237613  jadid.zhigool.co.uk:25565      OK     0.103s   eu
2026-09-24T00:19:22.241661  ir.macauley.info:8443          OK     0.191s   eu
2026-09-24T00:19:22.243342  noron.talebi.co.uk:2096        OK     0.217s   eu
2026-09-24T00:19:22.243362  good.cipservice.co.uk:2083     OK     0.104s   eu
2026-09-24T00:19:22.243642  craft.malavanann.co.uk:2083    OK     0.211s   eu
2026-09-24T00:19:22.248055  jhndoes.co.uk.:8443            OK     0.216s   eu
2026-09-24T00:19:22.248233  gallery.talebi.co.uk:2096      OK     0.108s   eu
2026-09-24T00:19:22.250437  pesar.kocholo.co.uk.:443       OK     0.112s   eu
2026-09-24T00:19:22.250872  shahi.shambelile.co.uk:8443    OK     0.102s   eu
2026-09-24T00:19:22.251918  sefid.goooalir.co.uk:8443      OK     0.222s   eu
2026-09-24T00:19:22.257674  media.benzcls.co.uk:2096       FAIL   -        eu
2026-09-24T00:19:22.258278  adam.poolaki.co.uk:8443        OK     0.107s   eu
2026-09-24T00:19:22.260162  91.107.160.196:443             OK     0.093s   eu
2026-09-24T00:19:22.261796  nigan.goooalir.co.uk:8443      OK     0.115s   eu
2026-09-24T00:19:22.262555  208.87.242.223:8443            OK     0.055s   eu
2026-09-24T00:19:22.262761  nontanori.noshabekoka.info.:7799 OK     0.214s   eu
2026-09-24T00:19:22.262887  you.foltmeingop.co.uk:8880     OK     0.212s   eu
2026-09-24T00:19:22.264376  meshki.goooalir.co.uk:8443     OK     0.108s   eu
2026-09-24T00:19:22.264767  n5s.ir.meli-n13.info:8443      OK     0.214s   eu
2026-09-24T00:19:22.265709  2yyddd1.mmd1.meli-n12.info:8443 OK     0.109s   eu
2026-09-24T00:19:22.265941  me.foltmeingop.co.uk:8880      OK     0.102s   eu
2026-09-24T00:19:22.266162  mashti.just-money.co.uk:8880   OK     0.109s   eu
2026-09-24T00:19:22.266760  iro.varfootball2.co.uk:2053    OK     0.218s   eu
2026-09-24T00:19:22.268970  speed.runserver.co.uk.:8443    OK     0.133s   eu
2026-09-24T00:19:22.269514  ir.envytations.co.uk:8443      OK     0.124s   eu
2026-09-24T00:19:22.274219  for.iranian.ir.zigoraaat.info.:7443 FAIL   -        eu
2026-09-24T00:19:22.276418  silnet.varfootball.co.uk:2053  OK     0.104s   eu
2026-09-24T00:19:22.277011  flux.lavazemi5.co.uk:2096      OK     0.105s   eu
2026-09-24T00:19:22.277442  e3fand.fesgheli.co.uk.:8443    OK     0.11s    eu
2026-09-24T00:19:22.278056  61.masi.ir.he6fhd.ru:8443      OK     0.126s   eu
2026-09-24T00:19:22.279260  nocloudnew.co.uk.:8443         OK     0.128s   eu
2026-09-24T00:19:22.280303  17fh.masi.ir.he6fhd.ru:8443    OK     0.254s   eu
2026-09-24T00:19:22.280593  sub.iran-tehran.co.uk.:443     OK     0.105s   eu
2026-09-24T00:19:22.280605  135.181.129.162:443            OK     0.115s   eu
2026-09-24T00:19:22.280808  kfk31.ir.ir.ir.meli-n12.info:8443 OK     0.129s   eu
2026-09-24T00:19:22.281337  dingi3.co.uk:4455              OK     0.128s   eu
2026-09-24T00:19:22.281964  soh5.goooalir.co.uk:8443       OK     0.124s   eu
2026-09-24T00:19:22.288088  PAyDaR.goooalir.co.uk:8443     OK     0.243s   eu
2026-09-24T00:19:22.291676  731.masi.ir.he6fhd.ru:8443     OK     0.144s   eu
2026-09-24T00:19:22.291879  one.horizon555.co.uk:8443      OK     0.131s   eu
2026-09-24T00:19:22.292939  irogallery.golgoli1.co.uk:2096 OK     0.107s   eu
2026-09-24T00:19:22.293724  premium.speed-benz.co.uk:8443  OK     0.114s   eu
2026-09-24T00:19:22.294014  cr777.goooalir.co.uk:8443      OK     0.108s   eu
2026-09-24T00:19:22.296242  s02.neo-trading.org:443        FAIL   -        ru
2026-09-24T00:19:22.297153  look.foltmeingop.co.uk:8880    OK     0.1s     eu
2026-09-24T00:19:22.297594  172.65.111.25:22               OK     0.006s   eu
2026-09-24T00:19:22.303212  new.lambforkebeb.co.uk:2096    OK     0.115s   eu
2026-09-24T00:19:22.304059  guardiola.pictureface.info.:7799 OK     0.16s    eu
2026-09-24T00:19:22.307474  leomessi.goooalir.co.uk:8443   OK     0.118s   eu
2026-09-24T00:19:22.308233  example.miosen.cyou:2096       FAIL   -        eu
2026-09-24T00:19:22.308848  VIP.Mohearn.co.uk.:443         OK     0.131s   eu
2026-09-24T00:19:22.312355  ccc.horizon555.co.uk:8443      OK     0.116s   eu
2026-09-24T00:19:22.313396  91.234.147.15.aprawood.ir:2020 OK     0.266s   eu
2026-09-24T00:19:22.313567  41.hide.newflamingodomain.co.uk:8443 OK     0.278s   eu
2026-09-24T00:19:22.313704  hh0000.ir.ir.ir.meli-n12.info:8443 OK     0.127s   eu
2026-09-24T00:19:22.314121  ferecans.jadidmadid.info.:7799 OK     0.172s   eu
2026-09-24T00:19:22.314362  vasle.goooalir.co.uk:8443      OK     0.106s   eu
2026-09-24T00:19:22.314382  porsorate.co.uk:4455           OK     0.273s   eu
2026-09-24T00:19:22.314667  khaterate.2nafare.info.:7799   OK     0.106s   eu
2026-09-24T00:19:22.314898  dokhtar.kocholo.co.uk.:443     OK     0.123s   eu
2026-09-24T00:19:22.315416  ir.simpleelegance-us.info:8443 OK     0.145s   eu
2026-09-24T00:19:22.317651  bimeh.my-moon.co.uk.:8443      OK     0.135s   eu
2026-09-24T00:19:22.318403  soheil.goooalir.co.uk:8443     OK     0.105s   eu
2026-09-24T00:19:22.320382  172.65.103.117:22              OK     0.005s   eu
2026-09-24T00:19:22.322615  behtarin.goooalir.co.uk:8443   OK     0.111s   eu
2026-09-24T00:19:22.323178  sop.foodpatuy.ir.:443          OK     0.274s   eu
2026-09-24T00:19:22.323280  91.234.147.9.aprawood.ir:2020  OK     0.283s   eu
